height_mm,sample_id
6,1
12,2
12,3
13,4
13,5
13,6
14,7
14,8
15,9
15,10
15,11
16,12
17,13
17,14
18,15
18,16
18,17
20,18
21,19
24,20
25,21
26,22
27,23
27,24
27,25
27,26
28,27
28,28
28,29
29,30
29,31
30,32
30,33
30,34
30,35
31,36
31,37
32,38
32,39
32,40
33,41
33,42
33,43
33,44
34,45
34,46
34,47
34,48
35,49
36,50
36,51
36,52
36,53
37,54
37,55
37,56
38,57
38,58
38,59
39,60
40,61
40,62
40,63
40,64
41,65
41,66
42,67
43,68
43,69
43,70
43,71
43,72
44,73
44,74
44,75
45,76
45,77
45,78
45,79
45,80
46,81
46,82
47,83
47,84
47,85
48,86
48,87
48,88
49,89
49,90
49,91
49,92
50,93
50,94
50,95
51,96
51,97
51,98
52,99
53,100
55,101
57,102
57,103
