waterbody,site_name,latitude,longitude,written_story,enhancement_actions,enhancement_years,enhancement_footprint_acres,notes
Chuckanut Bay,Chuckanut Bay,,,FALSE,Seeded cultch,2017,0.1,
Clam Bay,Clam Bay,,,FALSE,Seeded cultch,2021,0.67,
Drayton Harbor,Drayton Harbor,48.975556,-122.758699,FALSE,"Seeded cultch, Singles","2014, 2016, 2017, 2019, 2025",6,
Dyes Inlet,Chico Bay,47.607484,-122.70144,FALSE,"Bulk shell, Seeded cultch",2018,5,
Dyes Inlet,Ostrich Bay,,,FALSE,Seeded cultch,2017,0.4,
Dyes Inlet,Oyster Bay,47.572046,-122.674598,FALSE,"Bulk shell, Seeded cultch",2011,0.5,
Dyes Inlet,Silverdale,47.646036,-122.688485,FALSE,Bulk shell,"2023, 2024",20,
Fidalgo Bay,Fidalgo Bay,48.471528,-122.579325,TRUE,"Bulk shell, Seeded cultch","2002, 2003, 2004, 2006, 2013, 2016, 2018 ",4.5,
Henderson Inlet,Nisqually SF,47.12687,-122.835469,FALSE,Singles,"2018, 2019, 2020",0.17,
Liberty Bay,Dogfish Bay,47.726166,-122.650938,FALSE,"Bulk shell, Seeded cultch","2000, 2002, 2006, 2007, 2008, 2009, 2010, 2011",10,
Liberty Bay,Liberty Bay,47.738095,-122.651804,FALSE,Bulk shell,2020,15,
Liberty Bay,Scandia,47.719596,-122.656467,FALSE,Bulk shell,9999,10,what years? Tracker says 2005-2011. Were actions taken each year?
Port Gamble Bay,Port Gamble Bay,47.826657,-122.57586,FALSE,"Bulk shell, Seeded cultch, Singles","2014, 2015, 2016, 2022",10.5,
Port Susan Bay,Triangle Cove,,,FALSE,"Tanks, Singles",2025,1.02,
Quilcene Bay,Quilcene Bay,47.793073,-122.859466,FALSE,"Seeded cultch, Singles","2016, 2017",2,
Samish Bay,Samish Bay,48.596076,-122.474856,FALSE,"Seeded cultch, Singles","2022, 2023",6.81,
Sequim Bay,Sequim Bay,48.043471,-123.015864,FALSE,"Seeded cultch, Singles","2012, 2015, 2016, 2017, 2019",2,
Similk and Skagit Bays,Kiket and Lone Tree Lagoons,48.415908,-122.56095,FALSE,"Seeded cultch, Singles","2012, 2013, 2015, 2016, 2017 ",2.32,
Similk Bay,Similk Bay,,,FALSE,Singles,"2022, 2025",0.25,
Sinclair Inlet,Sinclair Inlet,47.545424,-122.655046,FALSE,Bulk shell,2019,15,
Skagit Bay,Skagit Bay,,,FALSE,Singles,2022,0.1,
Skokomish,Annas Bay,47.357023,-123.146082,FALSE,Seeded cultch,2020,2,
Skokomish ? ,Skok Flats,,,FALSE,Seeded cultch,2024,3,
Smith Cove,Smith Cove,47.6291,-122.389314,FALSE,Seeded cultch,"2018, 2021",2.33,
Squaxin Island,Palela Bay,,,FALSE,"Bulk shell, Singles","2011, 9999",2,Not sure what year(s) singles (roughly 1 million) were transferred here
Squaxin Island,Squaxin West,,,FALSE,"Tanks, Seeded cultch","2023, 2025",2.66,
Tulalip,Tulalip,,,FALSE,Seeded cultch,2022,0.67,
Turner's Bay,Turner's Bay,,,FALSE,Tanks,2025,1.33,
