region,water_body,site_name,standard_station_name,site_code,enhancement_latitude_est,enhancement_longitude_est,site_type,enhancement_type,enhancement_years,population_assessment_years,recruit_monitoring_years,recruit_partners,enhancement_partners,assessment_partners,notes,enhancement_questions,assessment_questions,recruitment_questions
South Puget Sound,Carr Inlet,Burley Lagoon,burley_lagoon,BL,,,recruitment,,,2025,"2020, 2021, 2022, 2023, 2024, 2025",,,,,,,
Central Puget Sound,Dyes Inlet,Chico Bay,chico_bay2,CB2,,,both,"Seeded cultch, Bulk shell",2018,"2019, 2021","2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",Suquamish Tribe,,,chico_bay1 only active 1 year. use CB2.,,,
Central Puget Sound,Liberty Bay,Dogfish Bay,dogfish_bay,BFB,,,both,Bulk shell,"2000, 2002, 2006, 2007, 2008, 2009, 2010, 2011","2016, 2020","2015, 2016, 2017, 2019, 2020, 2021, 2023, 2024, 2025",,,,,seeded cultch here also?,what is that 2016 pop assessment data?,dogfish_bay vs dogfish_creek_ ... ? how to approach reporting?
North Puget Sound,Drayton Harbor,Drayton Harbor,DHOCo,DH,,,both,"Seeded cultch, Singles",2016,2019,"2016, 2018, 2022, 2023, 2025",WCC,,,"DHC (drayton harbor, california creek) is another option here, with recruitment monitoring in 2018 and 2021",,,
North Puget Sound,Fidalgo Bay,"Fidalgo Bay, March's Point, Causeway North, Causeway South, Southern Sloughs, East Slough, Crandle Spit, Weaverling Spit High Puddle","trestle_mrc_b, north_barge, trestle_southeast","FB, FBN, FBS",48.471528,-122.579325,both,"Bulk shell, Seeded cultch","2002, 2003, 2004, 2005, 2013, 2018",2023,"2015, 2016, 2017, 2018, 2019, 2020, 2023, 2024, 2025",Skagit MRC,,,"recruitment: FBS only 2015, FBN only 2015 & 16",,what's up with this here?,
South Puget Sound,Henderson Inlet,Nisqually SF,nisqually_sf,HIC,,,both,Singles,"20XX, 2018, 2019, 2020","2019, 2020","2015, 2016, 2018, 2019, 2020, 2022, 2023, 2024, 2025",Nisqually,,,"also a recruitment site at ""allen"" (HIA) only deployed in 2020. 2019 population assessment is all 0s",what was the first year? this site grouped into miscellaneous at one point with many years and methods,,
Admiralty Inlet,Kilisut Harbor,"Kilisut South NMII, Indian Island North, Kilisut North",scowbay,KH,,,recruitment,,,2022,"2024, 2025",WDFW,,,,,curious how to interpret the different regions,
Central Puget Sound,Liberty Bay,Legion Park,,,47.7383547505274,-122.650992641646,enhancement,Bulk shell,2020,"2020, 2023, 2025",,,,,,,,no recruitment station here?
Central Puget Sound,Port Madison,Miller Bay,"clamisland, groverscreek","MIL1, MIL2",,,both,Seeded cultch,2021,,"2023, 2024, 2025 for MIL2",Friends of MB,,,,"""Clam bay eventually to miller bay"" in jodie's tracker. clam island is a recruitment station... clam bay is a named place on google near manchester. where is this all actually referencing to? Is this seeded cultch here (Jodie checked the box ""bags"").","Some phase C data in drive, unsure that this applies. I am thinking no",
Central Puget Sound,Dyes Inlet,Oyster Bay,oyster_bay,OB,,,both,"Bulk shell, Seeded cultch",2011,2020,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",,,,"3 other recruitment stations not active since 2021: oyster_bay_shellbag, oyster_bay_yearlong, oyster_bay_seeded","Note says enhancement across years, but only one year listed",,
