year,population_estimate,enhancement_action,notes
2001,0,,MK assuming there were practically no olys before we put them there
2002,"50000",Seeded cultch,reflecting surviving number of seeded oysters
2003,"45000",Seeded cultch,reflecting surviving number of seeded oysters
2004,"40000",Seeded cultch,reflecting surviving number of seeded oysters
2005,"90000",,
2006,"80000",First bulk shell added. More seeded cultch.,
2007,"100000",,
2008,"90000",,
2009,"80000",,
2010,"140000",,
2011,"140000",,
2012,"160000",,
2013,"240000",2.5 acres bulk shell added,
2014,"850000",,
2015,"2600000",,
2016,"3078000",Seeded cultch to west side of bay,
2017,"3525000",,
2018,"2912000",1 additional acre of bulk shell. 56 bags seeded cultch,First 'wide area' survey conducted
2023,"5544124",,
