site,location,pop_type,date,time_start,time_end,surveyor_name,contact,method,quadrat_size_m2,n_flips,total_sample_area_m2,latitude,longitude,tidal_elev_ft_mllw,sample_id,percent_cover_pacific_shell,live_oly_count,dead_oly_count,live_pac_count,dead_pac_count,live_unid_count,dead_unid_count,pacific_shell_piece,notes
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,NA,NA,NA,1,NA,28,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,3,0.75,NA,NA,NA,2,NA,10,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,2,0.5,NA,NA,NA,3,NA,11,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,13,3.25,NA,NA,NA,4,NA,10,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,4,1,NA,NA,NA,5,NA,10,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,NA,NA,NA,6,NA,22,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,4,1,NA,NA,NA,7,NA,13,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,2,0.5,NA,NA,NA,8,NA,16,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,NA,NA,NA,9,NA,13,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,5,1.25,NA,NA,NA,10,NA,10,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,NA,NA,NA,11,NA,19,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,NA,NA,NA,12,NA,23,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,2,0.5,NA,NA,NA,13,NA,14,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,NA,NA,NA,14,NA,31,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,NA,NA,NA,15,NA,47,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,NA,NA,NA,16,NA,38,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,NA,NA,NA,17,NA,46,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,NA,NA,NA,18,NA,21,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,NA,NA,NA,19,NA,41,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,NA,NA,NA,20,NA,29,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,3,0.75,NA,NA,NA,21,NA,12,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,ref-high,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,3,0.75,NA,NA,NA,22,NA,18,NA,NA,NA,NA,NA,NA,from high MLLW aggregation or above
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,8,2,NA,NA,NA,23,NA,10,NA,NA,NA,NA,NA,NA,"from lower aggregations, dense clam shell but low oly presence"
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,7,1.75,NA,NA,NA,24,NA,1,NA,NA,NA,NA,NA,NA,"from lower aggregations, dense clam shell but low oly presence"
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,NA,NA,NA,25,NA,64,NA,NA,NA,NA,NA,NA,from lower aggregations
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,2,0.5,NA,NA,NA,26,NA,10,NA,NA,NA,NA,NA,NA,"from lower aggregations, last years set observed (<25mm)"
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,24,6,NA,NA,NA,27,NA,6,NA,NA,NA,NA,NA,NA,from lower aggregations
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,12,3,NA,NA,NA,28,NA,13,NA,NA,NA,NA,NA,NA,from lower aggregations
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,40,10,NA,NA,NA,29,NA,0,NA,NA,NA,NA,NA,NA,from lower aggregations
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,48,12,NA,NA,NA,30,NA,0,NA,NA,NA,NA,NA,NA,"from lower aggregations, sandy with lots of hard shell clam"
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,48,12,NA,NA,NA,31,NA,0,NA,NA,NA,NA,NA,NA,from lower aggregations
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,24,6,NA,NA,NA,32,NA,3,NA,NA,NA,NA,NA,NA,from lower aggregations
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,48,12,NA,NA,NA,33,NA,3,NA,NA,NA,NA,NA,NA,from lower aggregations
