sample_id,name,height_mm
12,shell_height1_mm,44
12,shell_height2_mm,42
12,shell_height3_mm,NA
12,shell_height4_mm,NA
12,shell_height5_mm,NA
12,shell_height6_mm,NA
12,shell_height7_mm,NA
12,shell_height8_mm,NA
12,shell_height9_mm,NA
12,shell_height10_mm,NA
50,shell_height1_mm,54
50,shell_height2_mm,50
50,shell_height3_mm,38
50,shell_height4_mm,44
50,shell_height5_mm,35
50,shell_height6_mm,46
50,shell_height7_mm,42
50,shell_height8_mm,NA
50,shell_height9_mm,NA
50,shell_height10_mm,NA
34,shell_height1_mm,44
34,shell_height2_mm,43
34,shell_height3_mm,38
34,shell_height4_mm,NA
34,shell_height5_mm,NA
34,shell_height6_mm,NA
34,shell_height7_mm,NA
34,shell_height8_mm,NA
34,shell_height9_mm,NA
34,shell_height10_mm,NA
89,shell_height1_mm,42
89,shell_height2_mm,NA
89,shell_height3_mm,NA
89,shell_height4_mm,NA
89,shell_height5_mm,NA
89,shell_height6_mm,NA
89,shell_height7_mm,NA
89,shell_height8_mm,NA
89,shell_height9_mm,NA
89,shell_height10_mm,NA
81,shell_height1_mm,47
81,shell_height2_mm,41
81,shell_height3_mm,NA
81,shell_height4_mm,NA
81,shell_height5_mm,NA
81,shell_height6_mm,NA
81,shell_height7_mm,NA
81,shell_height8_mm,NA
81,shell_height9_mm,NA
81,shell_height10_mm,NA
37,shell_height1_mm,42
37,shell_height2_mm,40
37,shell_height3_mm,46
37,shell_height4_mm,41
37,shell_height5_mm,20
37,shell_height6_mm,19
37,shell_height7_mm,43
37,shell_height8_mm,51
37,shell_height9_mm,37
37,shell_height10_mm,39
38,shell_height1_mm,35
38,shell_height2_mm,18
38,shell_height3_mm,17
38,shell_height4_mm,49
38,shell_height5_mm,43
38,shell_height6_mm,44
38,shell_height7_mm,43
38,shell_height8_mm,53
38,shell_height9_mm,39
38,shell_height10_mm,26
70,shell_height1_mm,28
70,shell_height2_mm,45
70,shell_height3_mm,40
70,shell_height4_mm,44
70,shell_height5_mm,47
70,shell_height6_mm,35
70,shell_height7_mm,38
70,shell_height8_mm,46
70,shell_height9_mm,48
70,shell_height10_mm,39
90,shell_height1_mm,43
90,shell_height2_mm,34
90,shell_height3_mm,39
90,shell_height4_mm,39
90,shell_height5_mm,34
90,shell_height6_mm,NA
90,shell_height7_mm,NA
90,shell_height8_mm,NA
90,shell_height9_mm,NA
90,shell_height10_mm,NA
7,shell_height1_mm,47
7,shell_height2_mm,41
7,shell_height3_mm,43
