standard_station_id,year,index
BL,2014,NA
BL,2015,NA
BL,2016,NA
BL,2017,NA
BL,2018,NA
BL,2019,NA
BL,2020,1.93
BL,2021,6.2
BL,2022,0.27
BL,2023,17.97
BL,2024,0.2
BLF,2014,NA
BLF,2015,8
BLF,2016,NA
BLF,2017,NA
BLF,2018,NA
BLF,2019,0
BLF,2020,0.2
BLF,2021,0.33
BLF,2022,0.14
BLF,2023,0
BLF,2024,0.23
BP,2014,NA
BP,2015,1
BP,2016,NA
BP,2017,NA
BP,2018,NA
BP,2019,NA
BP,2020,NA
BP,2021,NA
BP,2022,NA
BP,2023,NA
BP,2024,NA
BUD1,2014,NA
BUD1,2015,NA
BUD1,2016,1
BUD1,2017,4.37
BUD1,2018,2.67
BUD1,2019,NA
BUD1,2020,0.07
BUD1,2021,0.07
BUD1,2022,0
BUD1,2023,0.03
BUD1,2024,0.37
BUD2,2014,NA
BUD2,2015,NA
BUD2,2016,0.2
BUD2,2017,0.23
BUD2,2018,NA
BUD2,2019,NA
BUD2,2020,NA
BUD2,2021,NA
BUD2,2022,NA
BUD2,2023,NA
BUD2,2024,NA
BUD3,2014,NA
BUD3,2015,NA
BUD3,2016,0.46
BUD3,2017,1.97
BUD3,2018,NA
BUD3,2019,NA
BUD3,2020,NA
BUD3,2021,NA
BUD3,2022,NA
BUD3,2023,NA
BUD3,2024,NA
BUD4,2014,NA
BUD4,2015,NA
BUD4,2016,0.2
BUD4,2017,0.5
BUD4,2018,NA
BUD4,2019,NA
BUD4,2020,NA
BUD4,2021,NA
BUD4,2022,NA
BUD4,2023,NA
BUD4,2024,NA
BUD5,2014,NA
BUD5,2015,NA
BUD5,2016,0.47
BUD5,2017,0
BUD5,2018,NA
BUD5,2019,NA
BUD5,2020,NA
BUD5,2021,NA
BUD5,2022,NA
BUD5,2023,NA
BUD5,2024,NA
CB1,2014,NA
CB1,2015,NA
CB1,2016,NA
CB1,2017,0.3
CB1,2018,NA
CB1,2019,NA
CB1,2020,NA
CB1,2021,NA
CB1,2022,NA
CB1,2023,NA
CB1,2024,NA
CB2,2014,NA
CB2,2015,NA
CB2,2016,NA
CB2,2017,2.07
CB2,2018,1.07
CB2,2019,0.57
CB2,2020,0.1
CB2,2021,0.13
CB2,2022,0.17
CB2,2023,0.7
CB2,2024,0.07
DB,2014,NA
DB,2015,NA
DB,2016,NA
DB,2017,NA
DB,2018,NA
DB,2019,0.1
DB,2020,0
DB,2021,13.8
DB,2022,NA
DB,2023,2.1
DB,2024,0.13
DFB,2014,NA
DFB,2015,5.38
DFB,2016,0.21
DFB,2017,0.43
DFB,2018,NA
DFB,2019,0.2
DFB,2020,0
DFB,2021,2.37
DFB,2022,0
DFB,2023,2.7
DFB,2024,1.07
DFC,2014,NA
DFC,2015,3.57
DFC,2016,0.23
DFC,2017,0.28
DFC,2018,0.67
DFC,2019,0.43
DFC,2020,0.07
DFC,2021,1.3
DFC,2022,0
DFC,2023,0.37
DFC,2024,0.67
DFC-B,2014,NA
DFC-B,2015,NA
DFC-B,2016,NA
DFC-B,2017,NA
DFC-B,2018,NA
DFC-B,2019,NA
DFC-B,2020,NA
DFC-B,2021,NA
DFC-B,2022,NA
DFC-B,2023,0.73
DFC-B,2024,0.63
DFC-S,2014,NA
DFC-S,2015,NA
DFC-S,2016,NA
DFC-S,2017,NA
DFC-S,2018,NA
DFC-S,2019,NA
DFC-S,2020,NA
DFC-S,2021,NA
DFC-S,2022,NA
DFC-S,2023,0.27
DFC-S,2024,0.6
DH,2014,NA
DH,2015,NA
DH,2016,NA
DH,2017,NA
DH,2018,0
DH,2019,1.5
DH,2020,0
DH,2021,0.2
DH,2022,0
DH,2023,0
DH,2024,NA
