name,height_mm,survey_area
shell_height1_mm,22,Project
shell_height1_mm,32,Project
shell_height1_mm,9,Project
shell_height1_mm,29,Project
shell_height2_mm,27,Project
shell_height3_mm,41,Project
shell_height1_mm,16,Project
shell_height1_mm,28,Project
shell_height1_mm,26,Project
shell_height2_mm,35,Project
shell_height1_mm,30,Project
shell_height2_mm,29,Project
shell_height3_mm,23,Project
shell_height4_mm,22,Project
shell_height1_mm,25,Project
shell_height2_mm,26,Project
shell_height3_mm,24,Project
shell_height4_mm,29,Project
shell_height5_mm,22,Project
shell_height6_mm,22,Project
shell_height7_mm,39,Project
shell_height8_mm,19,Project
shell_height1_mm,19,Project
shell_height2_mm,31,Project
shell_height3_mm,21,Project
shell_height4_mm,20,Project
shell_height5_mm,35,Project
shell_height1_mm,31,Project
shell_height1_mm,36,Project
shell_height1_mm,40,Project
shell_height2_mm,40,Project
shell_height1_mm,59,Project
shell_height2_mm,31,Project
shell_height3_mm,43,Project
shell_height1_mm,21,Project
shell_height2_mm,43,Project
shell_height3_mm,37,Project
shell_height1_mm,19,Project
shell_height1_mm,20,Project
shell_height2_mm,12,Project
shell_height1_mm,14,Project
shell_height1_mm,41,Project
shell_height2_mm,30,Project
shell_height1_mm,40,Project
shell_height1_mm,45,Project
shell_height2_mm,36,Project
shell_height1_mm,16,Project
shell_height2_mm,24,Project
shell_height3_mm,15,Project
shell_height4_mm,23,Project
shell_height5_mm,27,Project
shell_height1_mm,50,Project
shell_height1_mm,17,Project
shell_height1_mm,8,Project
shell_height1_mm,23,Project
shell_height1_mm,29,Project
shell_height2_mm,23,Project
shell_height3_mm,26,Project
shell_height1_mm,31,Project
shell_height2_mm,23,Project
shell_height3_mm,12,Project
shell_height1_mm,49,Project
shell_height2_mm,32,Project
shell_height3_mm,35,Project
shell_height4_mm,15,Project
shell_height5_mm,22,Project
shell_height6_mm,55,Project
shell_height1_mm,34,Project
shell_height2_mm,26,Project
shell_height1_mm,42,Project
shell_height1_mm,42,Project
shell_height1_mm,33,Project
shell_height2_mm,30,Project
shell_height3_mm,30,Project
shell_height4_mm,29,Project
shell_height1_mm,36,Project
shell_height1_mm,30,Project
shell_height1_mm,22,Project
shell_height1_mm,28,Project
shell_height2_mm,22,Project
shell_height1_mm,28,Project
shell_height1_mm,36,Reference
shell_height1_mm,59,Reference
shell_height1_mm,49,Reference
shell_height1_mm,47,Reference
shell_height1_mm,43,Reference
shell_height1_mm,45,Reference
shell_height1_mm,51,Reference
shell_height1_mm,39,Reference
shell_height1_mm,54,Reference
shell_height2_mm,27,Reference
shell_height1_mm,55,Reference
shell_height1_mm,49,Reference
shell_height1_mm,56,Reference
shell_height1_mm,52,Reference
shell_height1_mm,51,Reference
shell_height2_mm,54,Reference
shell_height1_mm,53,Reference
shell_height1_mm,33,Reference
shell_height1_mm,37,Reference
shell_height1_mm,20,Reference
shell_height1_mm,30,Reference
shell_height2_mm,38,Reference
shell_height3_mm,22,Reference
shell_height4_mm,32,Reference
shell_height5_mm,24,Reference
shell_height6_mm,31,Reference
shell_height7_mm,22,Reference
shell_height8_mm,29,Reference
shell_height1_mm,51,Reference
shell_height2_mm,27,Reference
shell_height3_mm,25,Reference
shell_height4_mm,24,Reference
