site,location,pop_type,date,time_start,time_end,surveyor_name,contact,method,quadrat_size_m2,n_flips,total_sample_area_m2,latitude,longitude,tidal_elev_ft_mllw,sample_id,percent_cover_pacific_shell,live_oly_count,dead_oly_count,live_pac_count,dead_pac_count,live_unid_count,dead_unid_count,pacific_shell_piece,notes
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,55,10,2,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,3,85,13,0,0,0,NA,NA,NA,pool of standing water
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,44,77,5,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,43,60,0,0,0,0,NA,NA,NA,standing/draining water
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,79,90,22,1,0,0,NA,NA,NA,standing/draining water
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,82,45,11,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,84,5,1,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,76,2.5,0,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,9,2.5,0,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,33,45,1,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,21,15,2,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,86,40,3,2,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,46,30,4,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,1,65,4,1,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,77,85,16,1,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,12,40,0,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,83,20,0,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,32,5,0,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,35,5,4,1,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,45,5,0,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,56,10,1,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,22,80,6,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,19,85,4,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,20,40,1,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,37,5,2,1,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,94,75,9,1,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,80,75,1,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,60,5,2,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,7,5,3,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,87,5,0,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,73,20,0,2,0,0,NA,NA,NA,whelk eggs
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,30,65,1,1,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,11,85,1,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,17,25,0,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,85,20,0,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,65,30,2,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,52,60,3,0,0,0,NA,NA,NA,
Sinclair Inlet,Sinclair Inlet,project,2025-05-28,10:32:00,2:30:00,"Hayley Aronson, Jessi Florendo",NA,random points,0.25,1,0.25,NA,NA,NA,42,40,3,0,0,0,NA,NA,NA,
