site,year,label,acres,description
Fidalgo Bay,2002,Seeded cultch,,"Bags of Pacific Oyster shell covered in Olympia oyster seed spread near the trestle, signifying the first Oly restoration effort in North Puget Sound!"
Fidalgo Bay,2003,Seeded cultch,,Additional seeded cultch spread near the trestle.
Fidalgo Bay,2004,Seeded cultch,,Additional seeded cultch spread near the trestle.
Fidalgo Bay,2006,Bulk shell & seeded cultch,,"Non-seed bearing Pacific Oyster shell spread at the trestle site to enhance the substrate, giving Olympia oyster larvae something to settle to."
Fidalgo Bay,2008,Bulk shell,,Additional bulk shell spread near the trestle.
Fidalgo Bay,2013,Bulk shell,2.5,Bulk shell added to 4 plots along the eastern shore of the bay.
Fidalgo Bay,2016,Seeded cultch,,Seeded cultch added to the western shore of the bay in attempt to increase recruitment on the western shore.
Fidalgo Bay,2018,Bulk shell & seeded cultch,1.4,1/2 acre bulk shell to the western shore with additional seeded cultch. 1/2 acre to the eastern shore.
Drayton Harbor,2014,,0.5,
Drayton Harbor,2016,,3.5,
Drayton Harbor,2017,,2,
Drayton Harbor,2019,Seeded cultch & singles,2,"449 bags of seeded cultch and 23,000 singles"
Samish Bay,2022,Seeded cultch & singles,3.5,"500 bag of seeded cultch and 300,000 singles to Taylor Shellfish Grounds"
Samish Bay,2023,Seeded cultch,3.33,500 bags of seeded cultch
Kiket and Lone Tree Lagoons,2012,Seeded cultch,0.48,71.5 bags of seeded cultch
Kiket and Lone Tree Lagoons,2015,Singles,0.01,"10,152 singles"
Kiket and Lone Tree Lagoons,2016,Seeded cultch & singles,1.16,"173 bags of seeded cultch and 5,600 singles"
Kiket and Lone Tree Lagoons,2017,Seeded cultch,0.67,100 bags of seeded cultch
Sequim Bay,2012,Seeded cultch,0.4,100 bags of seeded cultch
Sequim Bay,2015,Seeded cultch,0.4,100 bags of seeded cultch
Sequim Bay,2017,Seeded cultch,0.4,100 bags of seeded cultch
Sequim Bay,2019,Seeded cultch,0.8,200 bags of seeded cultch
Quilcene Bay,2016,Seeded cultch & singles,2,
Port Gamble Bay,2014,"Bulk shell, seeded cultch, & singles",10,
Port Gamble Bay,2015,,,
Port Gamble Bay,2016,,,
Liberty Bay,2020,Bulk shell,15,
Dogfish Bay,2005-2011,,10,"seeds spread in 2000, 2002, 2006, annual shell enhancements from 2007-2011"
Dogfish Bay,2000,,,seeds spread
Dogfish Bay,2002,,,seeds spread
Dogfish Bay,2006,Seeded cultch,,60 bags seeded cultch
Dogfish Bay,2007,Bulk shell & seeded cultch,0.5,"250 cubic yards of bulk shell, 53 bags seeded cultch"
Dogfish Bay,2008,Bulk shell,1,500 cubic yards of bulk shell
Dogfish Bay,2009,Bulk shell,,annual shell enhancements from 2007-2011
Dogfish Bay,2010,Bulk shell,2,700 yards bulk shell
Dogfish Bay,2011,Bulk shell & seeded cultch,2,"Shell applied to two plots, seeded cultch applied to second site"
Scandia,2005,Bulk shell,0.15,Pilot project adjacent to remnant shell from previous aquaculture
Scandia,2006,Bulk shell,0.5,
Scandia,2007,Bulk shell,2,
Scandia,2008,Bulk shell,5,
Scandia,,,,help!!
Silverdale,2023,Bulk shell,12,
Silverdale,2024,Bulk shell,8,
Chico Bay,2018,Bulk shell & seeded cultch,5,500 seeded cultch bags and 500 cubic yards of shell spread on tidelands covering 5 acres
Oyster Bay,2011,Bulk shell & seeded cultch,0.5,Shell amendment adjacent to existing 0.5 acre oly bed
Sinclair Inlet,2019,Bulk shell,15,
Smith Cove,2018,Seeded cultch,1,"2 iterations in this year, 200 bags followed by 176 bags"
Smith Cove,2021,Seeded cultch,1.33,200 bags of seeded cultch
Annas Bay,2020,Seeded cultch,2,400 bags of seeded cultch
Nisqually SF,2018,Singles,0.08,"150,000 singles"
Nisqually SF,2019,Singles,0.07,"140,000 singles"
Nisqually SF,2020,Singles,0.02,"40,000 singles"
